"","OK","RM","IN","Target"
"X243",2.25,2,2.33333333333333,1
"X244",3.5,4,3,1
"X245",2.5,1.33333333333333,2,0
"X246",3.65,3.33333333333333,2.66666666666667,1
"X247",1,1.33333333333333,1,0
"X248",5.25,4,2,0
"X249",3.8,3.66666666666667,3.33333333333333,1
"X250",1.95,3,3.66666666666667,0
"X251",4.15,2,4.33333333333333,1
"X252",4.15,4.33333333333333,4.33333333333333,0
"X253",1.6,2.66666666666667,1.66666666666667,0
"X254",1.8,1,1,0
"X255",3.45,4.66666666666667,2.33333333333333,0
"X256",5.05,2.66666666666667,2,1
"X257",5.6,3.66666666666667,2,1
"X258",1.3,1,1,1
"X259",3.7,2.66666666666667,2,1
"X260",2.45,1.66666666666667,3,1
"X261",2.45,2.33333333333333,1.66666666666667,1
"X262",3.2,4.66666666666667,2,1
"X263",4.55,3.66666666666667,3.66666666666667,1
"X264",1.7,1.33333333333333,1.66666666666667,0
"X265",4.3,3.66666666666667,3.33333333333333,1
"X266",1,1.33333333333333,3.66666666666667,0
"X267",3.85,4,4,1
"X268",3.1,1.66666666666667,1.66666666666667,1
"X269",2.45,3,1.66666666666667,0
"X270",3.95,4.33333333333333,2.66666666666667,1
"X271",1,1,1.66666666666667,1
"X272",1.4,1,1,0
"X273",3.8,3.66666666666667,3.33333333333333,1
"X274",1.35,1,1.33333333333333,0
"X275",2.45,3,4,1
"X276",4.85,3.33333333333333,3,1
"X277",2.65,1,2,1
"X278",2.4,1,2.33333333333333,1
"X279",1,2,1,0
"X280",3.8,6.33333333333333,1,1
"X281",2,4,1,0
"X282",1.5,2.66666666666667,3.66666666666667,1
"X283",2.9,1,1.66666666666667,0
"X284",4.25,5,1.33333333333333,0
"X285",3.95,4.66666666666667,4,1
"X286",4,5,1.66666666666667,1
"X287",5.45,6,5.33333333333333,1
"X288",1.85,4.66666666666667,4.66666666666667,1
"X289",4.55,3.33333333333333,1.66666666666667,1
"X290",2.95,1.33333333333333,1,0
"X291",4.55,1,2.33333333333333,0
"X292",1,1,1,0
"X293",3.95,4.66666666666667,4,1
"X294",5.15,3,3.66666666666667,1
"X295",4.05,4.33333333333333,4.66666666666667,0
"X296",5.5,6,2.33333333333333,0
"X297",1,1,1,0
"X298",4.65,6,2,0
"X299",3.95,3.33333333333333,2,0
"X300",1.5,1,2,0
"X301",1,2,1.66666666666667,1
"X302",1,4,4,0
"X303",1.25,1,1.66666666666667,0
"X304",5.55,4,3.33333333333333,1
"X305",3.65,3.33333333333333,4.33333333333333,0
"X306",4.1,5,4.66666666666667,1
"X307",3.5,2.66666666666667,2.33333333333333,1
"X308",1.7,1.66666666666667,1.33333333333333,1
"X309",4.05,4,4.33333333333333,0
"X310",4.9,3.66666666666667,3,1
"X311",2.55,3.33333333333333,3.66666666666667,1
"X312",4.25,3.33333333333333,1.66666666666667,0
"X313",1.85,2.33333333333333,1,0
"X314",3.55,5.66666666666667,4.33333333333333,1
"X315",1,1,1,0
"X316",3.15,1,4,1
"X317",1.05,1.33333333333333,1.66666666666667,0
"X318",5,5.66666666666667,2,1
"X319",2.45,2,3,1
"X320",3.85,2.66666666666667,3.66666666666667,1
"X321",5.1,4.33333333333333,5,1
"X322",4.4,4.66666666666667,4,1
"X323",1,1.33333333333333,1,0
"X324",4.1,4,3,1
"X325",3.85,3.66666666666667,1.66666666666667,1
"X326",4.05,5.66666666666667,1.66666666666667,0
"X327",1.2,1.33333333333333,1.33333333333333,1
"X328",2.25,1.66666666666667,3,1
"X329",6.15,3.33333333333333,1,1
"X330",1.05,2,1,0
"X331",1.65,1,2,0
"X332",4.25,2.33333333333333,4.33333333333333,1
"X333",2.3,2,1.66666666666667,0
