"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"613",5,3,4,5,5,3,4,5,5,3,4,5,5,5,4,5,5,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,3,2,NA,NA,NA,1
"614",7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,3,7,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"615",3,5,2,4,1,5,2,5,4,4,4,5,1,6,2,4,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,1,2,NA,NA,NA,1
"616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,3,2,4,0
"617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,1,2,4,1,1,1,3,1,1,1,3,1,1,1,3,5,5,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"618",1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,NA,NA,NA,1
"619",5,5,2,5,3,3,4,5,3,2,2,5,5,5,4,5,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,5,2,NA,NA,NA,1
"620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,1,2,4,1,1,2,3,2,1,2,3,1,1,1,3,3,2,3,NA,NA,NA,NA,NA,NA,2,1,3,0
"621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,3,2,2,3,2,2,3,4,2,1,1,2,2,2,3,4,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"622",6,2,7,1,5,2,5,2,6,2,7,1,5,2,6,2,6,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,3,6,NA,NA,NA,1
"623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,3,4,5,4,3,4,5,4,2,5,5,4,3,5,4,5,4,4,5,NA,NA,NA,NA,NA,NA,4,3,3,0
"624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,3,3,2,4,4,4,NA,NA,NA,NA,NA,NA,2,3,2,0
"625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,1,1,2,0
"626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"627",1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,7,2,2,NA,NA,NA,1
"628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,2,2,2,5,2,2,2,5,2,2,2,4,2,2,2,5,2,4,2,NA,NA,NA,NA,NA,NA,1,2,5,0
"629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,3,3,4,NA,NA,NA,NA,NA,NA,1,2,2,0
"630",1,3,1,1,1,5,1,2,1,3,1,1,1,4,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"631",7,4,4,5,7,7,5,7,7,6,4,4,7,7,5,6,7,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,1,1,1,NA,NA,NA,1
"632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,2,2,3,4,2,2,4,4,2,2,1,4,2,2,1,4,3,4,3,NA,NA,NA,NA,NA,NA,1,2,1,0
"633",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,NA,1
"634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,1,6,2,7,3,5,1,5,2,5,1,5,2,5,1,4,2,7,5,4,NA,NA,NA,NA,NA,NA,6,3,6,0
"635",3,3,2,3,1,1,3,3,4,5,3,5,1,3,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,1,NA,NA,NA,1
"636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,3,1,1,1,3,1,2,1,1,2,2,1,2,1,1,1,3,2,4,3,NA,NA,NA,NA,NA,NA,1,1,3,0
"637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,3,1,1,2,2,1,1,1,2,1,2,3,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,2,1,NA,NA,NA,NA,NA,NA,1,2,1,0
