"","R1_1","R1_2","R1_3","R1_4","R2_1","R2_2","R2_3","R2_4","R3_1","R3_2","R3_3","R3_4","R5_1","R5_2","R5_3","R5_4.","R6_1","R6_2","R6_3","R6_4","B1_1","B1_2","B1_3","B1_4","B2_1","B2_2","B2_3","B2_4","B3_1","B3_2","B3_3","B3_4","B5_1","B5_2","B5_3","B5_4.","B6_1","B6_2","B6_3","B6_4","BlkRacismMini_8","BlkRacismMini_9","BlkRacismMini_10","NtvRacismMini_8","NtvRacismMini_9","NtvRacismMini_10","NtvContemporaryInvis_1","NtvContemporaryInvis_2","NtvContemporaryInvis_3","BlkContemporaryInvis_1","BlkContemporaryInvis_2","BlkContemporaryInvis_3","Target"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,5,3,4,2,5,2,6,2,6,4,5,3,5,2,6,4,5,3,3,3,NA,NA,NA,NA,NA,NA,3,6,3,0
"2",2,5,2,1,3,5,4,5,2,5,4,5,3,5,4,4,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,6,3,NA,NA,NA,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,2,1,2,2,3,3,2,5,1,2,1,1,1,2,1,1,5,3,6,NA,NA,NA,NA,NA,NA,4,5,6,0
"4",1,2,1,1,1,1,1,1,1,3,1,1,2,2,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,1,NA,NA,NA,1
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,2,6,4,4,6,4,4,4,4,4,6,3,4,5,5,3,4,3,5,NA,NA,NA,NA,NA,NA,3,4,5,0
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,1,2,2,0
"7",4,3,3,4,3,4,5,4,6,3,5,3,5,3,4,4,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,3,4,NA,NA,NA,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,3,2,NA,NA,NA,NA,NA,NA,1,2,1,0
"9",6,2,4,4,6,2,4,4,6,2,4,4,6,2,4,4,6,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,3,3,NA,NA,NA,1
"10",4,4,3,6,5,4,3,6,5,3,4,6,1,4,4,5,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,4,NA,NA,NA,1
"11",2,3,2,4,2,3,2,4,2,4,3,4,2,3,2,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,3,3,NA,NA,NA,1
"12",6,5,4,4,2,3,5,4,3,5,5,3,5,4,6,2,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,4,2,2,NA,NA,NA,1
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,6,6,6,5,6,4,3,4,6,4,4,3,4,4,4,3,5,6,5,5,NA,NA,NA,NA,NA,NA,2,4,2,0
"14",6,3,5,3,5,4,5,3,5,3,6,2,4,4,4,3,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,5,4,NA,NA,NA,1
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,4,5,4,4,4,5,1,4,4,5,4,4,3,4,4,4,3,3,1,3,NA,NA,NA,NA,NA,NA,1,3,1,0
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,5,6,4,5,5,5,4,4,5,5,5,2,5,6,4,5,5,5,2,NA,NA,NA,NA,NA,NA,5,5,2,0
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,2,2,2,2,2,2,2,5,1,2,1,2,1,2,2,2,2,3,3,NA,NA,NA,NA,NA,NA,2,4,2,0
"18",1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,1
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,5,6,4,5,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,1,2,1,0
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2,6,5,4,2,6,6,4,2,6,6,4,4,6,6,4,4,6,3,4,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,5,3,3,2,4,3,2,3,5,3,2,2,5,3,2,3,5,3,3,4,NA,NA,NA,NA,NA,NA,2,2,2,0
"22",1,1,1,1,1,3,2,3,2,4,2,3,1,1,1,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,3,NA,NA,NA,1
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,5,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,0
"24",1,1,1,1,1,1,1,1,2,3,2,3,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,5,4,2,NA,NA,NA,1
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,4,4,5,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,4,0
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,7,4,4,1,4,1,4,6,7,1,4,1,7,1,7,4,7,4,7,7,7,NA,NA,NA,NA,NA,NA,4,3,4,0
"27",2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,4,1,NA,NA,NA,1
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,5,0
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"30",6,3,2,6,6,6,2,6,6,6,4,4,6,6,2,6,6,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,NA,NA,NA,1
"31",5,2,2,5,6,3,2,5,5,2,3,5,5,2,3,6,5,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,3,2,2,NA,NA,NA,1
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,6,4,5,4,6,3,4,4,6,3,4,3,6,5,4,4,3,3,3,NA,NA,NA,NA,NA,NA,2,2,4,0
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,3,2,1,1,1,2,1,2,2,4,3,3,2,7,7,7,NA,NA,NA,NA,NA,NA,1,1,1,0
"34",1,5,1,1,1,3,2,4,1,5,1,1,2,6,1,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,3,1,NA,NA,NA,1
"35",6,6,2,6,6,6,2,6,6,6,2,6,6,6,2,6,6,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,NA,NA,NA,1
"36",1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,4,1,NA,NA,NA,1
"37",1,4,1,1,1,4,1,1,1,5,1,1,1,2,1,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,5,5,3,NA,NA,NA,1
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,6,6,5,4,5,4,3,2,3,4,4,3,3,6,6,5,6,1,2,1,NA,NA,NA,NA,NA,NA,1,2,1,0
"40",1,1,1,4,1,1,1,4,1,1,1,4,2,1,1,4,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,2,1,NA,NA,NA,1
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,5,7,6,NA,NA,NA,NA,NA,NA,2,2,2,0
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,6,2,7,2,7,3,3,6,3,3,3,6,3,3,3,7,1,3,3,3,NA,NA,NA,NA,NA,NA,3,2,3,0
"43",1,3,1,2,2,5,1,4,3,4,2,2,1,5,1,4,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,2,NA,NA,NA,1
"44",3,4,4,3,3,4,5,3,5,4,5,5,4,3,4,4,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,6,3,NA,NA,NA,1
"45",1,4,2,7,2,7,1,7,2,5,3,7,2,7,1,7,1,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,2,2,2,NA,NA,NA,1
"46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,7,1,NA,NA,NA,1
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,6,NA,NA,NA,NA,NA,NA,1,1,1,0
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,4,5,4,3,4,4,3,3,5,4,3,3,5,6,4,4,4,1,2,1,NA,NA,NA,NA,NA,NA,5,4,5,0
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,2,6,4,4,2,4,2,4,2,4,2,4,2,6,4,4,4,2,2,NA,NA,NA,NA,NA,NA,4,4,4,0
"50",6,4,5,6,6,3,6,7,7,3,6,7,7,5,6,3,6,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,5,5,1,NA,NA,NA,1
"51",1,2,1,2,1,1,1,2,3,3,2,3,2,1,2,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,2,1,NA,NA,NA,1
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,4,7,4,4,4,7,2,3,4,7,4,4,4,7,4,4,4,2,4,2,NA,NA,NA,NA,NA,NA,4,4,1,0
"53",6,3,2,6,6,4,2,5,6,5,4,5,6,3,4,6,6,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,5,6,5,NA,NA,NA,1
"54",6,6,6,6,6,6,6,6,5,6,5,6,7,6,7,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,5,NA,NA,NA,1
"55",5,1,5,6,5,1,4,6,5,1,5,6,6,4,5,6,6,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"56",7,6,4,7,7,6,4,7,7,6,4,7,7,6,4,7,7,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,6,6,2,NA,NA,NA,1
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,7,1,4,6,2,2,4,1,6,2,2,6,2,6,7,1,6,5,5,7,7,NA,NA,NA,NA,NA,NA,7,3,5,0
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"59",6,2,2,6,6,2,3,5,6,2,3,5,6,1,3,5,6,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,6,5,6,NA,NA,NA,1
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,3,1,3,2,3,1,3,5,5,4,5,5,5,4,5,1,2,2,NA,NA,NA,NA,NA,NA,1,2,3,0
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5,1,5,1,NA,NA,NA,NA,NA,NA,3,1,1,0
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,1,1,1,1,1,4,4,4,4,1,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"63",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,2,2,1,NA,NA,NA,1
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,6,2,1,1,5,3,3,2,4,1,1,1,5,3,2,2,5,7,7,7,NA,NA,NA,NA,NA,NA,1,1,1,0
"65",2,4,1,3,1,3,1,3,1,3,1,3,2,4,1,3,2,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,4,1,NA,NA,NA,1
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,4,3,4,2,4,6,1,6,2,5,1,6,2,3,3,3,3,5,7,3,NA,NA,NA,NA,NA,NA,6,2,5,0
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,1,3,1,1,2,3,2,1,2,3,1,1,1,3,5,4,5,NA,NA,NA,NA,NA,NA,2,2,2,0
"68",2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,4,NA,NA,NA,1
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,1,1,1,2,2,2,3,1,1,1,2,1,1,1,2,7,7,7,NA,NA,NA,NA,NA,NA,1,2,1,0
"71",2,2,2,4,2,3,3,4,2,2,2,3,2,1,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,6,6,3,NA,NA,NA,1
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"73",1,1,1,1,1,2,2,1,2,2,3,3,2,2,2,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,6,5,4,NA,NA,NA,1
"74",6,4,4,6,6,4,4,6,6,4,4,6,6,4,4,6,6,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,6,2,NA,NA,NA,1
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2,3,1,0
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"77",6,4,5,5,6,4,4,5,6,4,4,5,6,4,4,5,6,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,2,NA,NA,NA,1
"78",2,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"79",1,3,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,1,NA,NA,NA,1
"80",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,NA,NA,NA,1
"81",4,3,3,4,5,4,4,4,4,4,4,5,4,3,3,5,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,2,1,NA,NA,NA,1
"82",4,4,4,4,5,4,5,4,4,4,4,4,3,5,4,5,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,5,2,NA,NA,NA,1
"83",6,3,6,4,5,3,5,4,6,3,6,4,5,3,4,4,6,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,3,2,NA,NA,NA,1
"84",7,2,4,3,7,2,4,2,6,4,4,3,7,2,4,3,7,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,2,2,2,NA,NA,NA,1
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,4,1,1,1,2,1,1,1,4,1,1,2,6,4,4,5,6,6,6,NA,NA,NA,NA,NA,NA,1,1,1,0
"86",3,4,2,4,2,3,3,4,4,5,4,5,4,5,4,5,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,NA,NA,NA,1
"87",1,1,1,1,1,1,1,1,2,3,1,1,2,3,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,NA,NA,NA,1
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,6,7,6,5,5,5,6,5,6,6,6,4,6,6,6,6,6,3,5,2,NA,NA,NA,NA,NA,NA,3,3,2,0
"89",2,3,3,4,3,4,3,4,3,4,4,4,2,6,2,4,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,6,2,NA,NA,NA,1
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,6,6,7,3,5,5,7,5,4,5,7,6,4,6,7,7,4,4,1,3,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,5,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,4,3,NA,NA,NA,NA,NA,NA,2,2,2,0
"92",1,5,1,2,1,5,1,3,2,7,1,3,1,6,1,3,3,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,1
"93",6,5,4,7,6,4,4,7,6,5,4,7,6,4,4,7,6,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,6,1,NA,NA,NA,1
"94",1,1,1,1,3,3,3,3,1,2,3,1,1,4,4,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,5,5,1,NA,NA,NA,1
"95",1,3,1,2,5,7,6,6,2,4,1,2,2,5,1,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,3,1,2,2,4,1,1,1,2,2,2,2,3,1,2,1,NA,NA,NA,NA,NA,NA,2,2,2,0
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,2,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,1,0
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,3,3,7,3,4,3,7,4,3,4,6,3,4,3,2,2,2,NA,NA,NA,NA,NA,NA,2,2,3,0
"99",1,2,1,3,2,2,1,3,1,4,1,3,2,5,1,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,4,NA,NA,NA,1
"100",3,4,2,3,4,4,3,3,3,4,3,2,3,4,3,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,4,5,2,NA,NA,NA,1
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,4,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0
