"","IN_S3","RM_S3Full","RM_S3Three","OK_S3","Study3rawdataset.Condition_S3"
"X236",2.66666666666667,2.9,2.66666666666667,2,0
"X237",4.33333333333333,4.7,4,3.8,1
"X238",1,3.9,4.66666666666667,6.3,1
"X239",2.16666666666667,3.7,2,2.15,1
"X240",3.33333333333333,3.9,1.33333333333333,1.55,1
"X241",1.66666666666667,6.3,6.66666666666667,5.5,0
"X242",4.5,4.2,2,3.2,1
"X243",3.16666666666667,4,2,2.25,1
"X244",3.5,4.2,4,3.5,1
"X245",3.5,4,1.33333333333333,2.5,0
"X246",2.83333333333333,3.3,3.33333333333333,3.65,1
"X247",1,2.2,1.33333333333333,1,0
"X248",2.66666666666667,2.9,4,5.25,0
"X249",3.33333333333333,4.4,3.66666666666667,3.8,1
"X250",3,4.1,3,1.95,0
"X251",5.16666666666667,4.4,2,4.15,1
"X252",3.16666666666667,4.1,4.33333333333333,4.15,0
"X253",1.33333333333333,3.6,2.66666666666667,1.6,0
"X254",1.33333333333333,1.1,1,1.8,0
"X255",1.66666666666667,5.1,4.66666666666667,3.45,0
"X256",3.16666666666667,4,2.66666666666667,5.05,1
"X257",1.83333333333333,4.1,3.66666666666667,5.6,1
"X258",1.66666666666667,4,1,1.3,1
"X259",2.5,4,2.66666666666667,3.7,1
"X260",4.83333333333333,3.8,1.66666666666667,2.45,1
"X261",3.16666666666667,4.4,2.33333333333333,2.45,1
"X262",3.16666666666667,3.8,4.66666666666667,3.2,1
"X263",3.83333333333333,3.9,3.66666666666667,4.55,1
"X264",2.33333333333333,1.7,1.33333333333333,1.7,0
"X265",4.83333333333333,4.4,3.66666666666667,4.3,1
"X266",3.5,2.5,1.33333333333333,1,0
"X267",4.33333333333333,3.9,4,3.85,1
"X268",3.16666666666667,4.3,1.66666666666667,3.1,1
"X269",1.5,3.2,3,2.45,0
"X270",4.16666666666667,4.3,4.33333333333333,3.95,1
"X271",2.66666666666667,4.1,1,1,1
"X272",1.16666666666667,1.1,1,1.4,0
"X273",3.5,3.9,3.66666666666667,3.8,1
"X274",2,1.6,1,1.35,0
"X275",4.5,4.1,3,2.45,1
"X276",3.16666666666667,3.7,3.33333333333333,4.85,1
"X277",3.66666666666667,3.1,1,2.65,1
"X278",3,3.4,1,2.4,1
"X279",1.16666666666667,2,2,1,0
"X280",1.66666666666667,4.3,6.33333333333333,3.8,1
"X281",1.66666666666667,4.4,4,2,0
"X282",4.83333333333333,4.4,2.66666666666667,1.5,1
"X283",1.83333333333333,1.4,1,2.9,0
"X284",1.83333333333333,5.3,5,4.25,0
"X285",5,4.7,4.66666666666667,3.95,1
"X286",3.16666666666667,4.7,5,4,1
"X287",5.5,4.4,6,5.45,1
"X288",5.16666666666667,4.9,4.66666666666667,1.85,1
"X289",2,4,3.33333333333333,4.55,1
"X290",1,2.8,1.33333333333333,2.95,0
"X291",2,1.7,1,4.55,0
"X292",1.5,1,1,1,0
"X293",4.5,4.5,4.66666666666667,3.95,1
"X294",3.33333333333333,2.7,3,5.15,1
"X295",4.66666666666667,3.6,4.33333333333333,4.05,0
"X296",2.33333333333333,6.2,6,5.5,0
"X297",1,1,1,1,0
"X298",2.66666666666667,5.8,6,4.65,0
"X299",2.33333333333333,3.8,3.33333333333333,3.95,0
"X300",2,3.4,1,1.5,0
"X301",3.16666666666667,4.2,2,1,1
"X302",3.83333333333333,3.8,4,1,0
"X303",2,1,1,1.25,0
"X304",3.66666666666667,4,4,5.55,1
"X305",4.33333333333333,3.7,3.33333333333333,3.65,0
"X306",5.16666666666667,5.1,5,4.1,1
"X307",3.16666666666667,4,2.66666666666667,3.5,1
"X308",2.5,4.2,1.66666666666667,1.7,1
"X309",3.83333333333333,3.7,4,4.05,0
"X310",4,3.9,3.66666666666667,4.9,1
"X311",4.16666666666667,4.5,3.33333333333333,2.55,1
"X312",1.83333333333333,3.2,3.33333333333333,4.25,0
"X313",1.66666666666667,2.3,2.33333333333333,1.85,0
"X314",5.33333333333333,6.3,5.66666666666667,3.55,1
"X315",1,2,1,1,0
"X316",4,3.9,1,3.15,1
"X317",2.5,2,1.33333333333333,1.05,0
"X318",3.33333333333333,4,5.66666666666667,5,1
"X319",2.66666666666667,3,2,2.45,1
"X320",3,2.3,2.66666666666667,3.85,1
"X321",5,4.2,4.33333333333333,5.1,1
"X322",3.5,3.6,4.66666666666667,4.4,1
"X323",1.16666666666667,1.8,1.33333333333333,1,0
"X324",4,4,4,4.1,1
"X325",3,4,3.66666666666667,3.85,1
"X326",1.33333333333333,6.3,5.66666666666667,4.05,0
"X327",2.5,3.9,1.33333333333333,1.2,1
"X328",3,3.6,1.66666666666667,2.25,1
"X329",3.33333333333333,4,3.33333333333333,6.15,1
"X330",2,2.3,2,1.05,0
"X331",3.5,1.3,1,1.65,0
"X332",4.83333333333333,3.8,2.33333333333333,4.25,1
"X333",1.83333333333333,2.5,2,2.3,0
"X334",5.33333333333333,4.1,6.66666666666667,5.9,1
"X335",4.83333333333333,3.3,1.33333333333333,5.05,1
"X336",2.33333333333333,1,1,2,0
"X337",4,3.9,1.33333333333333,1.65,1
"X338",1.66666666666667,2.6,3.66666666666667,2.4,0
"X339",1.66666666666667,1.7,1.33333333333333,1,0
"X340",4.33333333333333,3.8,4,3.45,0
"X341",5.16666666666667,4.8,5,5.9,1
"X342",1.83333333333333,1.2,1,1.95,0
"X343",4.16666666666667,3.6,2,3.1,1
"X344",4.33333333333333,3.1,2,3.4,1
"X345",3.16666666666667,3.6,2.66666666666667,2.45,1
"X346",2.5,1.3,1.33333333333333,1.7,0
"X347",2,2.1,2,2.6,0
"X348",3.66666666666667,4,5,3.3,1
"X349",1.83333333333333,4.4,2.33333333333333,1.4,0
"X350",1.5,1.9,1.33333333333333,1.95,0
"X351",3.83333333333333,5.9,5.33333333333333,4.4,1
"X352",3,2,2,2,0
"X353",5.5,4.4,3,2.8,1
"X354",3.33333333333333,3.5,3.66666666666667,4,0
"X355",3.16666666666667,4,1,2.35,1
"X356",3.33333333333333,3.5,2.66666666666667,2.35,1
"X357",1.16666666666667,1.8,1.66666666666667,1.05,0
"X358",2.83333333333333,3.4,3.66666666666667,5.8,0
"X359",3.16666666666667,3.8,2.33333333333333,4.05,1
"X360",1,4.5,4,1,0
"X361",1.83333333333333,2.2,1.66666666666667,2.5,0
"X362",3.5,4,4.33333333333333,2.7,1
"X363",1.16666666666667,3.6,2.33333333333333,2.25,0
"X364",4.16666666666667,5.2,6,7,1
"X365",1.16666666666667,3.8,1,1,0
"X366",3.83333333333333,4.3,2.66666666666667,1.85,1
"X367",5.16666666666667,4.3,7,4.75,1
"X368",3.16666666666667,4,3.66666666666667,3.85,0
"X369",3.66666666666667,3.6,2.33333333333333,2.85,1
"X370",2.66666666666667,3.8,5.33333333333333,3.5,0
"X371",2.33333333333333,3.7,3.33333333333333,2,0
"X372",2.5,4.1,1.66666666666667,1.75,1
"X373",3.5,3.3,1.66666666666667,3.8,1
"X374",4.83333333333333,4.3,1.33333333333333,2.45,1
"X375",2,2.7,2.66666666666667,2.15,0
"X376",3,2.2,2,1.35,0
"X377",4.33333333333333,4.2,3.33333333333333,4.2,1
"X378",3,4.4,3.33333333333333,3.95,1
"X379",1,1.1,1,3.2,0
"X380",4.16666666666667,2.9,3,3.15,1
"X381",4.83333333333333,4.3,4,5.05,1
"X382",2.33333333333333,4,2,3.7,0
"X383",2.66666666666667,4.7,6.33333333333333,5.95,1
"X384",3,2.9,2.66666666666667,2.35,0
"X385",2.5,6.6,6,2.75,0
"X386",6,3.7,5.33333333333333,3.3,1
"X387",5.83333333333333,4.2,5,3.4,1
"X388",2.16666666666667,1,1,1,0
"X389",2.16666666666667,2.3,2.33333333333333,6,0
"X390",3.83333333333333,5.1,5.33333333333333,4.15,0
"X391",1,1,1,4.8,0
"X392",4.33333333333333,4.1,2.66666666666667,2.4,1
"X393",1.83333333333333,3.6,2,2.75,0
"X394",4.5,4.3,5,4.45,0
"X395",2.33333333333333,1,1,1.05,0
"X396",1,1,1,1,0
"X397",4,3.7,3.66666666666667,4.45,0
"X398",3.5,3.2,3.66666666666667,4.35,1
"X399",2.5,1,1,1.15,0
"X400",2,2.6,2.66666666666667,1.05,0
"X401",3.33333333333333,4.2,3.66666666666667,3.4,1
"X402",4.33333333333333,4.2,3.66666666666667,2.5,1
"X403",1.83333333333333,6.7,6.66666666666667,1.85,0
"X404",5.16666666666667,5.9,5.33333333333333,3.85,1
"X405",4.16666666666667,4.3,4.66666666666667,4.4,1
"X406",2,1.5,1,3,0
"X407",3.33333333333333,4,1.66666666666667,2.6,1
"X408",2,4.7,3.66666666666667,1.15,0
"X409",2.83333333333333,3.9,1,1.4,1
"X410",3.16666666666667,4,1,1,1
"X411",4.16666666666667,3.8,5,3.85,1
"X412",1.66666666666667,1.3,1,1.45,0
"X413",2.33333333333333,5.2,3.66666666666667,1.2,0
"X414",4,4.1,2.66666666666667,2.65,1
"X415",4,3.9,3.33333333333333,4.2,1
"X416",2.16666666666667,2.3,2,1,0
"X417",4.16666666666667,3.8,2,3.4,1
"X418",2.16666666666667,1.1,1.33333333333333,1.9,0
"X419",5.5,4.7,5.33333333333333,3.2,1
"X420",2.66666666666667,4.4,2.33333333333333,4.75,1
"X421",3.5,3.9,4,5.1,1
"X422",5.16666666666667,3.8,3,4.35,1
"X423",2.33333333333333,6.5,6,1.55,0
"X424",2.83333333333333,3.5,3.66666666666667,5.25,1
"X425",2,4.6,3,5.1,0
"X426",1.66666666666667,1.3,1,2.6,0
"X427",4.5,4.5,4.66666666666667,4.55,1
"X428",4.5,3.8,2.33333333333333,2.15,1
"X429",3.33333333333333,3.8,2.33333333333333,6.15,1
"X430",2.33333333333333,3.7,3,3.35,0
